id	gamma	Nsteps	stepsize	Nchians	KSD	run_time	NaNratio
1	0.2	10	0.2	10	0.1292052935096434	23.855833814	0.0
2	0.2	10	0.2	10	0.12390626471587646	16.341687295	0.0
3	0.2	10	0.2	10	0.18800574983069968	17.068368191	0.0
1	0.2	10	0.5	10	9.012859548428018	16.681412779	0.35
2	0.2	10	0.5	10	5.938977346719973	16.767147139	0.35
3	0.2	10	0.5	10	5.439952882552584	17.040286436	0.45
1	0.2	10	1.0	10	17.014299339007763	16.779196391	1.0
2	0.2	10	1.0	10	11.809387961617494	16.436282514	1.0
3	0.2	10	1.0	10	8.81278046951868	17.271189371	1.0
1	0.2	20	0.2	10	0.12602361410155458	32.698295036	0.0
2	0.2	20	0.2	10	0.1766748006106286	33.89943927	0.0
3	0.2	20	0.2	10	0.1831340857927589	33.189634056	0.0
1	0.2	20	0.5	10	6.222753846961716	33.485356749	0.7
2	0.2	20	0.5	10	12.174778928258627	33.864348443	0.6
3	0.2	20	0.5	10	4.133366740634439	34.362371426	0.75
1	0.2	20	1.0	10	12.690321691640145	34.528300286	1.0
2	0.2	20	1.0	10	12.162080447058768	32.969904023	1.0
3	0.2	20	1.0	10	7.4642102943289	33.67230497	1.0
1	0.5	10	0.2	10	0.16143820094751482	17.1943185	0.0
2	0.5	10	0.2	10	0.1688691001407905	16.073488123	0.0
3	0.5	10	0.2	10	0.17272494522687026	16.594592293	0.0
1	0.5	10	0.5	10	11.596378633325253	16.317872291	0.1
2	0.5	10	0.5	10	9.429999477176715	17.34590501	0.25
3	0.5	10	0.5	10	10.577024874819626	16.360464701	0.45
1	0.5	10	1.0	10	10.200722448140473	17.839203686	1.0
2	0.5	10	1.0	10	5.919257990407553	22.291404643	1.0
3	0.5	10	1.0	10	8.953310532618582	16.354149044	1.0
1	0.5	20	0.2	10	0.20460717367243766	34.98361479	0.0
2	0.5	20	0.2	10	0.1464719051171863	35.161272076	0.0
3	0.5	20	0.2	10	0.25207294877949105	33.900420994	0.0
1	0.5	20	0.5	10	2.2530798309650084	35.479249429	0.4
2	0.5	20	0.5	10	12.541431997950367	34.86441361	0.4
3	0.5	20	0.5	10	7.312534062762956	34.270340818	0.5
1	0.5	20	1.0	10	11.039767295159729	34.722365672	1.0
2	0.5	20	1.0	10	7.869009371315498	34.533398285	1.0
3	0.5	20	1.0	10	14.32173923823947	36.262202481	1.0
1	1.0	10	0.2	10	0.21944906802526237	17.080880959	0.0
2	1.0	10	0.2	10	0.24958129255119801	17.535172142	0.0
3	1.0	10	0.2	10	0.16678326737988786	17.469011563	0.0
1	1.0	10	0.5	10	4.564187461166802	17.057372515	0.0
2	1.0	10	0.5	10	5.159339306141929	17.014342182	0.05
3	1.0	10	0.5	10	7.633708927615149	16.796017901	0.15
1	1.0	10	1.0	10	4.871321164854672	18.230969473	1.0
2	1.0	10	1.0	10	16.960879428028154	18.066965851	1.0
3	1.0	10	1.0	10	8.95598700063371	17.465685302	1.0
1	1.0	20	0.2	10	0.22754617002096617	33.33970214	0.0
2	1.0	20	0.2	10	0.23140938642417191	34.575171461	0.0
3	1.0	20	0.2	10	0.20538789426330956	36.6696672	0.0
1	1.0	20	0.5	10	5.831366882610158	34.42445396	0.1
2	1.0	20	0.5	10	5.66504382921236	34.605233233	0.2
3	1.0	20	0.5	10	10.704702535902538	33.816004529	0.35
1	1.0	20	1.0	10	12.919075096672357	33.142448684	1.0
2	1.0	20	1.0	10	16.74287921685195	33.106423243	1.0
3	1.0	20	1.0	10	13.3034463580267	34.012794913	1.0
