"","group","gamma","Nsteps","stepsize","Nchians","KSD","NaNratio"
"1",1,0.2,10,0.2,10,18.025215792452,0.25
"2",2,0.2,10,0.5,10,17.3930939156552,1
"3",3,0.2,10,1,10,28.6459318824593,1
"4",4,0.2,20,0.2,10,17.438619386275,0.533333333333333
"5",5,0.2,20,0.5,10,23.7748924037951,1
"6",6,0.2,20,1,10,25.8695400015532,1
"7",7,0.5,10,0.2,10,33.3776822171829,0.116666666666667
"8",8,0.5,10,0.5,10,28.2616404131928,1
"9",9,0.5,10,1,10,30.9607827681468,1
"10",10,0.5,20,0.2,10,21.76106119742,0.283333333333333
"11",11,0.5,20,0.5,10,23.7755265070178,1
"12",12,0.5,20,1,10,21.3740246056323,1
"13",13,1,10,0.2,10,35.8371808181312,0.05
"14",14,1,10,0.5,10,28.7514070376499,1
"15",15,1,10,1,10,22.5102009508661,1
"16",16,1,20,0.2,10,28.2163512047464,0.05
"17",17,1,20,0.5,10,27.0974530270528,1
"18",18,1,20,1,10,23.766215110153,1
"19",1,0.2,10,0.526863475063499,10,0.775651192306084,0
"20",2,0.2,20,0.537332349236019,10,0.876149064717023,0
"21",3,0.5,10,0.526863475063499,10,1.70383682660849,0
"22",4,0.5,20,0.537332349236019,10,1.06546311466124,0
"23",5,1,10,0.526863475063499,10,0.720187111772882,0
"24",6,1,20,0.537332349236019,10,0.84167980160802,0
