"","group","gamma","Nsteps","stepsize","Nchians","KSD","NaNratio"
"1",1,0.2,10,0.2,10,54.2424364586615,1
"2",2,0.2,10,0.5,10,60.971354229485,1
"3",3,0.2,10,1,10,60.971354229485,1
"4",4,0.2,20,0.2,10,53.7295109473869,1
"5",5,0.2,20,0.5,10,60.9674275300842,1
"6",6,0.2,20,1,10,58.1777208402903,1
"7",7,0.5,10,0.2,10,60.6222815672663,1
"8",8,0.5,10,0.5,10,62.0475926676407,1
"9",9,0.5,10,1,10,60.971354229485,1
"10",10,0.5,20,0.2,10,47.9066070875943,1
"11",11,0.5,20,0.5,10,47.177709165414,1
"12",12,0.5,20,1,10,66.1438589178023,1
"13",13,1,10,0.2,10,46.1102453573068,1
"14",14,1,10,0.5,10,53.7295109473869,1
"15",15,1,10,1,10,72.6434676981951,1
"16",16,1,20,0.2,10,53.9224594601662,1
"17",17,1,20,0.5,10,60.971354229485,1
"18",18,1,20,1,10,60.971354229485,1
"19",1,0.2,10,0.494105376235811,10,1.63754860589785,0
"20",2,0.2,20,0.456217989392702,10,1.61847633860545,0
"21",3,0.5,10,0.494105376235811,10,1.91540277339736,0
"22",4,0.5,20,0.456217989392702,10,1.49376695729944,0
"23",5,1,10,0.494105376235811,10,1.26374156859117,0
"24",6,1,20,0.456217989392702,10,1.62807212306165,0
