"","group","gamma","Nsteps","stepsize","Nchians","KSD","NaNratio"
"1",1,0.1,10,0.05,10,0.692966403963063,0
"2",2,0.1,10,0.1,10,0.488083617672384,0
"3",3,0.1,15,0.05,10,0.688250682228617,0
"4",4,0.1,15,0.1,10,0.262525457908542,0
"5",5,0.2,10,0.05,10,0.639258443125407,0
"6",6,0.2,10,0.1,10,0.50775954040925,0
"7",7,0.2,15,0.05,10,0.524202474419193,0
"8",8,0.2,15,0.1,10,0.279653861687191,0
"9",9,0.5,10,0.05,10,0.698352075271456,0
"10",10,0.5,10,0.1,10,0.51470501648716,0
"11",11,0.5,15,0.05,10,0.515200550299967,0
"12",12,0.5,15,0.1,10,1.23123520694437,0
"13",1,0.2,10,0.102926636154536,10,0.469448528777873,0
"14",2,0.2,15,0.111309289467598,10,0.226420806089605,0
